entity_key,canonical_name,motif_key,motif_type,subtype,cooccurrence_count
person_jia_zheng,賈政,motif_medicine,身體,藥,5
person_jia_mu,賈母,motif_bamboo,花木,竹,5
person_jia_zhen,賈珍,motif_gold,物象,金,5
person_jia_zhen,賈珍,motif_tears,情感身體,哭泣,5
person_jia_lian,賈璉,motif_flower,花木,泛花,5
person_jia_lian,賈璉,motif_fragrance,感官,香氣,5
person_jia_lian,賈璉,motif_medicine,身體,藥,5
person_jia_lan,賈蘭,motif_gold,物象,金,5
person_jia_she,賈赦,motif_book,文藝,書,5
person_jia_she,賈赦,motif_moon,自然,月,5
person_jia_she,賈赦,motif_tears,情感身體,哭泣,5
person_jia_she,賈赦,motif_wine,飲食,酒,5
person_jia_yingchun,賈迎春,motif_flower,花木,泛花,5
person_jia_yingchun,賈迎春,motif_red,顏色,紅色,5
person_jia_yingchun,賈迎春,motif_tea,飲食,茶,5
person_jia_yucun,賈雨村,motif_jade,物象,玉石,5
person_jia_yucun,賈雨村,motif_moon,自然,月,5
person_jia_yucun,賈雨村,motif_wind,自然,風,5
person_xueyan,雪雁,motif_illness,身體,疾病,5
person_xiangling,香菱,motif_moon,自然,月,5
person_xiangling,香菱,motif_tears,情感身體,哭泣,5
person_yuanyang,鴛鴦,motif_flower,花木,泛花,5
person_ying_er,鶯兒,motif_fragrance,感官,香氣,5
person_ying_er,鶯兒,motif_red,顏色,紅色,5
person_she_yue,麝月,motif_fragrance,感官,香氣,5
person_ruhua,入畫,motif_jade,物象,玉石,4
person_liu_laolao,劉姥姥,motif_book,文藝,書,4
person_liu_laolao,劉姥姥,motif_green_blue,顏色,青色,4
person_shi_xiangyun,史湘雲,motif_gold,物象,金,4
person_you_erjie,尤二姐,motif_white,顏色,白色,4
person_you_shi,尤氏,motif_flower,花木,泛花,4
person_you_shi,尤氏,motif_fragrance,感官,香氣,4
person_you_shi,尤氏,motif_illness,身體,疾病,4
person_you_shi,尤氏,motif_tears,情感身體,眼淚,4
person_ping_er,平兒,motif_moon,自然,月,4
person_ping_er,平兒,motif_stone,物象,石,4
person_qingwen,晴雯,motif_fragrance,感官,香氣,4
person_qingwen,晴雯,motif_purple,顏色,紫色,4
person_li_wan,李紈,motif_green_blue,顏色,青色,4
person_li_wan,李紈,motif_red,顏色,紅色,4
person_li_wan,李紈,motif_wine,飲食,酒,4
person_lin_daiyu,林黛玉,motif_green,顏色,綠色,4
person_lin_daiyu,林黛玉,motif_peach_blossom,花木,桃花,4
person_lin_daiyu,林黛玉,motif_rain,自然,雨,4
person_yuchuan,玉釧,motif_gold,物象,金,4
person_wang_furen,王夫人,motif_green_blue,顏色,青色,4
person_wang_furen,王夫人,motif_snow,自然,雪,4
person_wang_furen,王夫人,motif_wind,自然,風,4
person_wang_xifeng,王熙鳳,motif_bamboo,花木,竹,4
person_wang_xifeng,王熙鳳,motif_stone,物象,石,4
person_zhen_shiyin,甄士隱,motif_jade,物象,玉石,4
person_zhen_shiyin,甄士隱,motif_lotus,花木,蓮,4
person_zijuan,紫鵑,motif_flower,花木,泛花,4
person_zijuan,紫鵑,motif_moon,自然,月,4
person_xue_yima,薛姨媽,motif_willow,花木,柳,4
person_xue_baochai,薛寶釵,motif_medicine,身體,藥,4
person_xue_baochai,薛寶釵,motif_stone,物象,石,4
person_xiren,襲人,motif_dream,夢幻,夢,4
person_xiren,襲人,motif_rain,自然,雨,4
person_xiren,襲人,motif_wind,自然,風,4
person_jia_yuanchun,賈元春,motif_illness,身體,疾病,4
person_jia_baoyu,賈寶玉,motif_hibiscus,花木,芙蓉,4
person_jia_tanchun,賈探春,motif_flower,花木,泛花,4
person_jia_tanchun,賈探春,motif_tears,情感身體,眼淚,4
person_jia_zheng,賈政,motif_poetry,文藝,詩,4
person_jia_zheng,賈政,motif_red,顏色,紅色,4
person_jia_zheng,賈政,motif_white,顏色,白色,4
person_jia_mu,賈母,motif_green_blue,顏色,青色,4
person_jia_mu,賈母,motif_poetry,文藝,詩,4
person_jia_zhen,賈珍,motif_book,文藝,書,4
person_jia_zhen,賈珍,motif_medicine,身體,藥,4
person_jia_zhen,賈珍,motif_red,顏色,紅色,4
person_jia_zhen,賈珍,motif_tea,飲食,茶,4
person_jia_lian,賈璉,motif_tea,飲食,茶,4
person_jia_lian,賈璉,motif_tears,情感身體,眼淚,4
person_jia_huan,賈環,motif_flower,花木,泛花,4
person_jia_huan,賈環,motif_fragrance,感官,香氣,4
person_jia_rong,賈蓉,motif_gold,物象,金,4
person_jia_rong,賈蓉,motif_tea,飲食,茶,4
person_jia_lan,賈蘭,motif_tears,情感身體,哭泣,4
person_jia_yingchun,賈迎春,motif_moon,自然,月,4
person_jia_yingchun,賈迎春,motif_poetry,文藝,詩,4
person_jia_yucun,賈雨村,motif_white,顏色,白色,4
person_lai_da,賴大,motif_flower,花木,泛花,4
person_lai_da,賴大,motif_moon,自然,月,4
person_lai_da,賴大,motif_wine,飲食,酒,4
person_zhao_yiniang,趙姨娘,motif_illness,身體,疾病,4
person_xueyan,雪雁,motif_tea,飲食,茶,4
person_xiangling,香菱,motif_white,顏色,白色,4
person_yuanyang,鴛鴦,motif_fragrance,感官,香氣,4
person_ying_er,鶯兒,motif_flower,花木,泛花,4
person_ying_er,鶯兒,motif_gold,物象,金,4
person_ying_er,鶯兒,motif_moon,自然,月,4
person_ying_er,鶯兒,motif_willow,花木,柳,4
person_she_yue,麝月,motif_purple,顏色,紫色,4
person_shishu,侍書,motif_white,顏色,白色,3
person_ruhua,入畫,motif_book,文藝,書,3
person_ruhua,入畫,motif_fragrance,感官,香氣,3
person_ruhua,入畫,motif_purple,顏色,紫色,3
person_ruhua,入畫,motif_red,顏色,紅色,3
person_ruhua,入畫,motif_tears,情感身體,哭泣,3
person_liu_laolao,劉姥姥,motif_gold,物象,金,3
person_liu_laolao,劉姥姥,motif_tea,飲食,茶,3
person_liu_laolao,劉姥姥,motif_wine,飲食,酒,3
person_shi_xiangyun,史湘雲,motif_medicine,身體,藥,3
person_shi_xiangyun,史湘雲,motif_moon,自然,月,3
person_shi_xiangyun,史湘雲,motif_white,顏色,白色,3
person_shi_xiangyun,史湘雲,motif_wind,自然,風,3
person_siqi,司棋,motif_fragrance,感官,香氣,3
person_siqi,司棋,motif_jade,物象,玉石,3
person_siqi,司棋,motif_purple,顏色,紫色,3
person_siqi,司棋,motif_red,顏色,紅色,3
person_siqi,司棋,motif_tears,情感身體,眼淚,3
person_zhou_rui_jia,周瑞家的,motif_wine,飲食,酒,3
person_miaoyu,妙玉,motif_book,文藝,書,3
person_miaoyu,妙玉,motif_fragrance,感官,香氣,3
person_miaoyu,妙玉,motif_white,顏色,白色,3
person_you_erjie,尤二姐,motif_illness,身體,疾病,3
person_you_erjie,尤二姐,motif_tears,情感身體,哭泣,3
person_you_shi,尤氏,motif_white,顏色,白色,3
person_ping_er,平兒,motif_illness,身體,疾病,3
person_ping_er,平兒,motif_wind,自然,風,3
person_qingwen,晴雯,motif_dream,夢幻,夢,3
person_qingwen,晴雯,motif_gold,物象,金,3
person_qingwen,晴雯,motif_tea,飲食,茶,3
person_qingwen,晴雯,motif_wind,自然,風,3
person_li_wan,李紈,motif_flower,花木,泛花,3
person_li_wan,李紈,motif_snow,自然,雪,3
person_li_wan,李紈,motif_willow,花木,柳,3
person_lin_ruhai,林如海,motif_book,文藝,書,3
person_lin_ruhai,林如海,motif_rain,自然,雨,3
person_lin_daiyu,林黛玉,motif_bamboo,花木,竹,3
person_lin_daiyu,林黛玉,motif_haitang,花木,海棠,3
person_lin_daiyu,林黛玉,motif_willow,花木,柳,3
person_yuchuan,玉釧,motif_tears,情感身體,眼淚,3
person_wang_furen,王夫人,motif_dream,夢幻,夢,3
person_wang_furen,王夫人,motif_poetry,文藝,詩,3
person_zhen_shiyin,甄士隱,motif_white,顏色,白色,3
person_zijuan,紫鵑,motif_medicine,身體,藥,3
person_xue_yima,薛姨媽,motif_book,文藝,書,3
person_xue_yima,薛姨媽,motif_illness,身體,疾病,3
